label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,8_post,8_pre,9_post,9_pre,10_post,10_pre,11_post,12_post,12_pre,13_post,13_pre,14_post,14_pre,15_post,15_pre,16_post,16_pre,17_post,17_pre,19_post,19_pre,20_post,20_pre,21_post,21_pre,22_post,22_pre,23_post,23_pre,24_post,24_pre,25_post,25_pre,26_post,26_pre,27_post,27_pre,28_post,28_pre,29_post,29_pre,30_post,30_pre,31_post,31_pre,32_post,32_pre,33_post,33_pre,blank1,blank2,blank3,blank4,gen_02_post,gen_02_pre,gen_02_pre_241103200910,gen_03_post,gen_03_pre,gen_04_post,gen_04_pre,gen_05_post,gen_05_pre,gen_06_post,gen_06_pre,gen_07_post,gen_07_pre
g,59,59,38,227.129639,4.352,0.846354,[M-H]-,,Traumatic Acid,Traumatic Acid,C12H20O4,0.160,3.291878,227.129639,16098004.00,1423998.38,222727.83,319503.03,819739.25,152189.17,55478.42,481034.09,377041.88,13204.70,784709.00,507028.66,3141445.75,211199.94,113209.43,3608196.25,2332976.50,52402.68,304273.69,81831.69,363124.84,38941.76,51530.68,35332.89,108934.96,208192.52,93504.45,244005.55,128233.48,123102.18,352532.00,1051073.38,781470.06,883866.19,35822.23,13491.97,52041.76,149297.61,35479.64,155499.70,626634.69,110217.77,72365.43,2570230.00,137430.98,26027.50,48225.72,27155.16,32837.08,22137.14,18537.82,25785.47,16889.62,45280.53,28031.92,26195.84,502547.72,224074.80,663227.81,51799.83,1038975.50,3071703.25,1564817.62,107095.45,6036159.50,154584.14
g,62,62,21,227.202148,3.288,0.729864,[M-H]-,,C14:0(Myristic acid),C14:0(Myristic acid),C14H28O2,0.738,2.149110,227.202148,32947760.00,320976768.00,1587372.88,21803906.00,20892470.00,37606308.00,8752001.00,23741906.00,55190364.00,9609657.00,40014752.00,9903028.00,51414892.00,4433181.50,15537103.00,5506811.50,14828768.00,1139203.00,4500974.00,26747296.00,61596972.00,2463843.50,4604026.00,11006146.00,11038179.00,4710010.50,7282794.50,7626749.50,6750324.00,13093363.00,57366332.00,15007105.00,17194214.00,4288218.00,32241742.00,8205016.00,20233770.00,8664983.00,3121312.75,11264421.00,111300696.00,9556881.00,35482188.00,9279833.00,8134609.50,2914958.00,30355106.00,6928176.00,18592898.00,1954296.50,2285723.25,2512473.25,2061496.12,16987194.00,50532980.00,15210085.00,54881932.00,87656760.00,5924592.00,9614371.00,15681661.00,43410260.00,318967840.00,26894464.00,56969476.00,114679872.00
g,71,71,58,229.156250,7.033,0.837425,[M-H]-,,Leu-Val isomer,Leu-Val isomer,C11H22N2O3,0.051,2.130783,229.156250,112606784.00,20782676.00,51857964.00,66002172.00,131498728.00,42555900.00,27308248.00,12526117.00,28067848.00,5540339.50,1829265.00,35866316.00,209945920.00,56212892.00,32229406.00,86290120.00,88062776.00,147450.75,5690070.50,22457542.00,9679895.00,461475.84,853769.75,22493314.00,43905348.00,60773612.00,18048130.00,36204860.00,7443946.50,26070616.00,19027762.00,75129128.00,25887558.00,25384312.00,20299178.00,920983.00,2258440.25,2522123.75,22181214.00,44518268.00,23242614.00,8792213.00,6178118.50,129123224.00,16330821.00,89092.52,3867630.75,25460486.00,10493217.00,0.00,0.00,10120.70,27911.48,107546816.00,23181208.00,13002627.00,14436555.00,53187492.00,51484736.00,22468738.00,21432190.00,53504516.00,80538200.00,53495616.00,23240578.00,9588068.00
g,75,75,41,230.140289,7.844,0.840853,[M-H]-,,Butyryl-L-carnitine,Butyryl-L-carnitine,C11H21NO4,1.007,2.187975,230.140289,11302.53,11992.44,25461.08,3841.59,15559.25,126164.29,14057.72,33077.89,74176.45,33548.09,36906.93,8556.15,158773.08,38193.02,106802.10,39047.10,153674.88,3297.10,28741.78,58797.63,198717.00,96242.34,17101.46,3815.47,219207.55,32864.12,138343.67,31519.77,83033.93,37005.71,78161.47,105099.77,230550.52,7867.95,366265.47,2056.87,74076.28,30782.90,98460.12,9878.23,4144.48,2313.58,1814.10,50270.83,143984.19,3479.75,1353.43,8148.12,2017.66,0.00,1261.10,0.00,0.00,20625.87,62511.53,19374.95,0.00,7842.17,37675.33,2005.83,42444.95,172757.02,69382.84,131257.48,6538.83,3466.16
g,79,79,61,231.098984,11.739,0.849711,[M-H]-,,Val-Asp isomer,Val-Asp isomer,C9H16N2O5,0.534,1.452598,231.098984,25691070.00,22234882.00,7437505.50,5497818.00,52088288.00,3665476.00,1017075.56,295177.03,623643.75,49853.72,104560.88,25922592.00,56850832.00,3229098.00,928948.06,24385646.00,7004182.50,10146.71,83826.73,4122677.00,568834.06,29516.27,39321.89,854891.00,3541141.75,2692282.25,1344052.38,669514.44,333187.47,1313104.62,887297.75,7834168.50,9182476.00,993982.75,961440.44,22846.53,61005.09,46694.02,559008.25,8269529.50,2402001.25,814528.19,269266.50,13118011.00,757114.19,20391.79,66152.15,1320978.88,297417.09,0.00,0.00,0.00,13004.63,12533661.00,474457.53,789728.50,1774141.50,6527281.50,8895889.00,2659379.75,1365796.62,19733106.00,78735448.00,6958988.50,16592236.00,1251428.38
g,84,84,7,217.108490,10.351,0.836994,[M-H]-,,2-Hydroxydecanedioic acid,2-Hydroxydecanedioic acid,C10H18O5,0.932,1.546203,217.108490,2670561.00,1144913.62,819734.19,492176.97,2907563.25,1613099.62,559467.50,649224.25,360919.78,235837.50,165483.73,1562977.50,5570374.50,1203908.25,888474.25,2475895.25,2508875.00,140330.27,358225.25,3810220.25,406947.78,413064.00,402935.22,299624.47,540843.31,1576831.00,1229481.12,1797222.62,616295.94,2157435.50,1445285.38,2228216.75,1167361.50,1129255.00,3128366.00,738639.81,465701.12,499554.12,838884.69,695296.44,1128994.38,678251.06,167774.50,2162950.25,452257.75,117661.56,266415.34,811434.25,172464.19,44265.06,33491.92,36970.05,43067.70,915833.19,802258.56,1170744.00,2503449.75,993396.50,1127335.00,857661.69,700642.25,2833182.00,1659252.38,1262362.88,3085636.75,852402.50
g,86,86,60,217.119904,8.440,0.852681,[M-H]-,,Leu-Ser isomer,Leu-Ser isomer,C9H18N2O4,0.531,2.389463,217.119904,36962996.00,10964723.00,21928694.00,27590406.00,33985992.00,13295528.00,6532096.00,2110037.25,5044501.50,545567.06,710850.69,22652256.00,34619948.00,14968475.00,9990663.00,38039700.00,23953968.00,26393.77,855341.81,14544512.00,2159814.75,280261.97,322386.00,5057900.50,14805560.00,20954686.00,7690469.50,14553113.00,2476521.50,10885340.00,4410680.50,22624722.00,9093029.00,10031689.00,5644313.50,331434.81,620917.00,303990.59,3574940.00,14967247.00,7745492.00,1945134.62,1835858.88,31778008.00,4257176.00,15423.25,555613.94,5106361.50,1524009.12,0.00,0.00,1648.21,11870.44,24377720.00,3270890.75,2540207.75,7831518.00,21501576.00,17107078.00,10300785.00,6459419.50,17954490.00,41978868.00,17241974.00,13399813.00,3641591.75
g,90,90,62,218.103806,8.444,0.852834,[M-H]-,,Pantothenic Acid,Pantothenic Acid,C9H17NO5,0.775,1.888954,218.103806,16781418.00,20606910.00,2738305.00,12146741.00,20449302.00,18020246.00,2180203.25,469794.50,1395489.25,260384.75,55893.58,15027613.00,32896928.00,9202431.00,2726549.25,9756199.00,4943904.50,119663.59,1855606.12,3271626.75,4477304.50,322476.75,435848.41,2802485.25,9542155.00,8219594.50,8070186.50,2999816.00,3176642.00,2600178.00,6185765.50,4351450.00,1431684.00,2822874.00,1272487.25,45287.61,176334.50,59301.36,687382.69,2860293.75,3208002.75,561363.19,737842.25,14455251.00,2140989.75,35936.32,197738.05,1738641.00,1065558.12,0.00,0.00,983.16,0.00,5438410.50,1604199.38,1369421.50,7567869.50,13464123.00,3540753.00,2739045.25,8464892.00,25929674.00,17299976.00,8943483.00,18564260.00,8589033.00
g,94,94,53,220.083054,10.015,0.835285,[M-H]-,,N-acetyl-D-mannosamine,N-acetyl-D-mannosamine,C8H15NO6,0.015,1.802634,220.083054,2003786.88,2802424.75,349239.47,296345.03,1250227.38,306925.69,187439.00,25933.97,39719.42,21744.14,17488.27,1998058.62,3453514.25,173029.64,73250.88,1384820.00,234014.62,10870.15,32185.38,647454.62,72236.56,26346.59,27027.14,108324.35,518488.41,742102.00,264666.22,286030.53,47978.77,63260.61,89184.41,2814730.75,257410.92,202017.45,53158.58,13171.25,21614.87,11306.85,47483.51,84788.34,130328.15,77597.99,43819.88,512651.41,65105.82,8986.11,21213.47,132946.39,36513.62,5032.47,6357.83,5415.25,5361.49,169394.34,36861.77,31896.75,3654210.75,305779.88,248287.92,66547.12,226690.45,2156317.75,2297634.25,236756.02,2273445.00,163853.23
g,97,97,60,221.093689,8.389,0.854447,[M-H]-,,Gly-Phe,Gly-Phe,C11H14N2O3,0.130,2.346517,221.093689,1266724.12,924469.25,1817024.00,1083276.75,1337295.12,490156.34,511380.91,133523.12,218947.08,40275.24,22487.52,1724788.38,2349429.25,1955318.38,1183204.00,3753294.25,992795.19,1237.77,122612.78,961190.81,115785.51,7731.81,12671.73,371799.12,1086199.38,1920153.50,822858.69,2191721.25,167638.02,717737.75,308701.84,1117583.62,403845.28,514028.16,414416.59,19223.61,36828.10,27350.75,344129.81,406506.09,319914.47,64807.52,66643.40,3403606.75,437192.88,1676.72,23569.88,530959.88,71702.52,0.00,0.00,0.00,1079.65,1594834.12,266564.03,248519.31,685557.81,1564587.88,1184602.00,403062.41,576135.25,1217503.00,675430.00,1278834.38,1292664.38,138712.97
g,109,109,53,187.109299,8.321,0.840346,[M-H]-,,Glycyl-L-leucine,Glycyl-L-leucine,C8H16N2O3,0.219,2.609611,187.109299,30347386.00,8442365.00,18041624.00,29702952.00,29168936.00,13346183.00,6035446.50,2257119.75,6368630.50,766217.06,763009.69,12791052.00,29765398.00,17203818.00,9754838.00,32308554.00,24828304.00,28348.58,1175459.38,6767754.50,3400644.75,269169.97,363122.88,5291467.50,13447181.00,20617874.00,7984126.50,14245136.00,2953336.00,11593928.00,6057285.50,20548998.00,8756299.00,10698756.00,6393565.50,347058.34,637504.06,357177.66,4053833.25,17172434.00,8397259.00,2277382.00,2206982.75,28002906.00,5058954.50,7743.22,760388.06,4670396.50,2040937.38,0.00,0.00,2200.31,20975.37,28092994.00,4442142.00,138559.75,7009914.50,23889282.00,14307856.00,12407228.00,10285379.00,21503750.00,32741514.00,20392250.00,5510469.50,4848112.50
g,111,111,60,188.035873,5.164,0.856064,[M-H]-,,Kynurenic acid,Kynurenic acid,C10H7NO3,0.334,2.921347,188.035873,354388.59,2861971.00,926055.00,195316.75,563608.25,4348961.00,934313.06,1206253.88,126243.38,391587.22,18568.14,2430910.50,1375988.50,2227962.25,2358407.00,392172.66,340684.22,746765.94,1395655.88,7107662.50,2638827.75,1027282.75,465397.00,462464.88,5077319.50,572802.06,371131.72,29262658.00,1549362.62,10584448.00,1767615.12,996622.31,509068.38,4647488.50,399509.25,253294.25,819193.69,386907.78,595194.25,2045044.62,2455873.75,3670726.25,38619.09,19971784.00,3225664.00,178651.27,1022416.25,227999.33,40523.60,1777.65,1311.04,1408.74,3232.12,3747690.25,122344.98,22086.54,1086737.50,484647.03,3334861.25,12962.66,2149201.25,4070620.00,316296.47,865781.31,2929054.75,3029516.75
g,124,124,56,190.051453,7.088,0.852980,[M-H]-,,5-hydroxyindole-3-acetic acid,5-hydroxyindole-3-acetic acid,C10H9NO3,0.078,2.569212,190.051453,68632488.00,36182220.00,106362.95,125261.73,54648364.00,4416078.00,270374.78,31302.35,7397740.50,137556.52,42000.10,6611424.00,11127736.00,5810708.50,16329701.00,4320373.50,31706536.00,987022.06,6322069.50,260672.55,10728036.00,748939.31,2394515.75,65979.10,291916.53,4334994.50,11699321.00,17023.49,3571786.00,23372.18,6734218.00,158695.48,76390.18,5012200.00,288531.72,4308.77,1038293.00,1566409.38,9457713.00,130144.22,312090.06,135461.92,103034.45,4496542.50,204558.08,54318.88,794744.06,42275.28,74270.58,6483.23,5176.98,6997.53,13562.49,155194.33,2367068.00,1926447.12,783358.75,491251.03,245846.81,319934.47,3581039.00,12120273.00,9674713.00,3594970.75,1862662.88,182435.08
g,136,136,60,181.072144,11.790,0.853296,[M-H]-,,sorbitol,sorbitol,C6H14O6,0.042,2.106732,181.072144,552153.00,2543772.00,77032.87,1582671.62,1325935.25,1047354.50,98369.52,28366.94,516874.88,33677.51,21460.29,368448.91,685496.44,163426.08,131263.98,70368.37,49793.62,12504.36,191412.02,296499.25,189682.77,30805.91,58833.50,117160.69,620948.94,299786.75,3054549.75,6210463.50,95297.12,25519.70,558659.31,241640.80,188868.80,282088.59,860327.50,16052.94,155689.92,31513.02,482597.12,997262.81,143580.67,66840.35,195085.30,369808.50,138366.36,6779.08,594849.94,39190.48,164296.44,1215.77,1431.35,1431.77,886.98,75842.31,136515.83,165170.14,169384.94,1841960.12,922075.94,219595.06,153262.73,865000.31,405302.12,378614.59,228504.73,105885.91
g,139,139,51,182.046173,2.950,0.851796,[M-H]-,,4-Pyridoxic acid,4-Pyridoxic acid,C8H9NO4,0.500,1.592549,182.046173,3924510.75,23708362.00,2504241.50,1947484.62,1071777.25,2865177.00,382333.72,1101693.38,1090673.50,815025.31,273195.47,4263373.50,28123710.00,3311544.25,2530339.75,4631203.50,4478994.00,35189.83,464989.62,1931953.12,1465389.50,514543.72,366813.62,874742.25,2719607.00,2129358.25,1812776.50,1027218.31,740814.94,755962.31,1122632.50,71568.66,37479.04,1662318.62,2690495.75,27490.42,950677.50,112226.45,388849.84,741826.69,1370593.38,780511.94,398570.16,17342.36,140019.50,45375.21,169574.42,734439.44,1426949.12,7361.60,6073.78,10274.62,6628.69,1349058.25,1167233.88,1025029.00,6292308.50,6892790.50,1155223.12,2789252.00,684775.44,14105848.00,4007606.25,2956066.75,11971451.00,2095040.88
g,151,151,60,187.007538,2.148,0.854614,[M-H]-,,Cresol sulfate,Cresol sulfate,C7H8O4S,0.042,2.611031,187.007538,177208.50,633979.31,9097379.00,20666.37,109811.84,97396.51,63099.11,130075.16,36102.07,23243.35,34553.15,710633.19,935460.00,23987.36,29206.43,2830741.25,151805.14,7216.45,25576.33,8926924.00,593412.69,12969.05,4330.58,27426.35,265717.97,454752.84,235496.52,379305.50,34750.54,1442357.88,649061.44,282041.47,1615477.50,46679.97,45975.04,16535.07,14284.10,324072.72,864669.75,43924.74,41704.98,26819.30,1018064.44,74224.66,13652213.00,3338.43,19560.55,51727.55,48552.44,3545.63,1058.47,1728.94,0.00,70707.26,29748.35,15338.15,1208551.88,2521648.25,105323.23,30882.37,54074.19,534930.94,1071845.12,433270.84,415111.84,177443.62
g,156,156,44,184.098343,7.071,0.853049,[M-H]-,,Ecgonine,Ecgonine,C9H15NO3,0.012,2.320755,184.098343,2750728.75,654209.25,2300860.00,273307.22,284305.72,492928.88,435886.53,1690142.00,131852.45,740724.31,101690.62,6173920.00,1391330.50,2168183.75,7615.90,1548091.38,235128.52,17196.60,86860.63,2389423.00,138723.75,346650.22,95313.23,1315089.38,259284.94,1417613.50,305636.97,209567.88,235171.33,1784466.50,130115.88,940918.06,172859.05,506574.72,173182.20,896317.06,71492.34,49782.78,28426.45,231993.70,176949.44,640302.56,69430.57,1200466.00,161301.67,8587.95,37623.39,1339129.38,66947.09,12730.30,4977.19,17060.81,33124.25,1293111.12,28496.10,45302.79,717567.50,517539.00,1462235.00,116135.84,239498.86,1503795.00,1453936.00,208760.75,2521700.75,190845.45
g,165,165,47,201.113571,10.298,0.786804,[M-H]-,,Sebacic acid,Sebacic acid,C10H18O4,0.958,1.669176,201.113571,33138550.00,7568850.50,10515716.00,5485265.50,7582233.50,2133561.75,1737100.88,7827255.50,3595689.75,4170326.25,1319737.88,6418534.50,12866869.00,8840583.00,2288485.75,15455352.00,6501852.00,249850.33,877347.75,21342878.00,6120078.00,3996163.75,829343.81,5708938.50,6652996.00,18126010.00,10022477.00,8726956.00,3109160.00,9697125.00,1868191.88,15844148.00,8009928.50,8770063.00,6662232.50,2959571.00,2576140.75,803388.56,1564745.00,4350133.50,5463520.00,8670474.00,2331570.00,25693504.00,10979132.00,174159.27,263996.84,10900564.00,2651647.75,46201.27,38026.02,50863.43,63388.07,13318420.00,1930522.38,2454634.75,4219304.00,10792095.00,15631480.00,10649939.00,5731820.00,16329423.00,19203972.00,5748948.50,34791316.00,3986276.00
g,166,166,62,201.124985,8.046,0.844931,[M-H]-,,L-Leucyl-L- Alanine,L-Leucyl-L- Alanine,C9H18N2O3,0.300,2.579491,201.124985,43942384.00,11959779.00,28417766.00,37689360.00,39437372.00,25680672.00,11069065.00,4333890.00,11328048.00,1770620.38,1799521.00,12933125.00,33094614.00,28514630.00,17664474.00,33202314.00,38656060.00,47348.91,1857202.38,5900427.50,5169620.50,720121.00,783916.00,9550564.00,24716074.00,30395126.00,11079815.00,18565934.00,5302444.00,8789588.00,9716700.00,26372826.00,10283707.00,14895355.00,10217744.00,672376.31,1207100.50,741822.75,6687671.50,14573344.00,10395372.00,4301443.50,3995704.75,46045504.00,6636269.50,9006.99,1113895.88,8025834.50,3624918.75,0.00,0.00,1790.88,7105.02,44840692.00,7250486.50,8167972.00,9423855.00,37222900.00,21732906.00,14544541.00,16026501.00,31157232.00,15448427.00,35144756.00,13357116.00,9088290.00
g,173,173,4,202.109116,10.406,0.734388,[M-H]-,,acetyl carnitine,acetyl carnitine,C9H17NO4,0.823,3.095418,202.109116,647926.19,257033.17,16228.95,129090.44,103806.35,352052.84,24534.47,14561.12,22647.02,10574.14,9586.63,54023.47,261904.20,43339.17,397290.88,47444.72,64699.62,45343.26,50600.56,65861.39,25467.36,9146.81,10879.99,13457.36,48047.69,222279.88,56872.70,78242.61,64405.79,15710.41,114771.63,14726.07,18383.11,37085.78,36628.39,6507.08,12081.55,6299.33,19741.52,73506.15,16108.66,12885.00,13571.48,341780.72,112881.70,13798.56,13884.70,10583.07,20008.77,5102.69,3875.93,6650.01,2193.19,13802.42,12521.00,13105.93,115088.56,297021.53,21745.65,12805.84,109907.90,135811.45,38939.52,42409.17,943573.06,104163.57
