Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collection_date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ena_last_update,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_Name,Sequencing_method,SRA Study,Submitter_Id
ERR4280627,AMPLICON,501,51111172,PRJEB38984,SAMEA7000160,34483045,GOTHENBURG UNIVERISITY,2016,human,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233287,SAMEA7000160,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-21T23:17:00Z,1,SAMEA7000160,W0004_v2,Illumina Solexa,ERP122448,W0004_v2
ERR4280628,AMPLICON,501,73543714,PRJEB38984,SAMEA7000161,52419771,GOTHENBURG UNIVERISITY,2016,human,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233288,SAMEA7000161,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-28T00:09:00Z,1,SAMEA7000161,W0004_v3,Illumina Solexa,ERP122448,W0004_v3
ERR4280629,AMPLICON,501,40976483,PRJEB38984,SAMEA7000162,29083435,GOTHENBURG UNIVERISITY,2016,human,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233289,SAMEA7000162,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-16T10:10:00Z,1,SAMEA7000162,W0004_v4,Illumina Solexa,ERP122448,W0004_v4
ERR4280630,AMPLICON,501,66439886,PRJEB38984,SAMEA7000163,44150121,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233290,SAMEA7000163,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-28T00:09:00Z,1,SAMEA7000163,W0005_v1,Illumina Solexa,ERP122448,W0005_v1
ERR4280631,AMPLICON,501,62125325,PRJEB38984,SAMEA7000164,41940640,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233291,SAMEA7000164,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-22T01:19:00Z,1,SAMEA7000164,W0005_v2,Illumina Solexa,ERP122448,W0005_v2
ERR4280632,AMPLICON,501,70898989,PRJEB38984,SAMEA7000165,50337782,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233292,SAMEA7000165,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-16T10:11:00Z,1,SAMEA7000165,W0005_v3,Illumina Solexa,ERP122448,W0005_v3
ERR4280633,AMPLICON,501,54989944,PRJEB38984,SAMEA7000166,38734916,GOTHENBURG UNIVERISITY,2016,human,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233293,SAMEA7000166,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-12T20:59:00Z,1,SAMEA7000166,W0005_v4,Illumina Solexa,ERP122448,W0005_v4
ERR4280634,AMPLICON,501,59983081,PRJEB38984,SAMEA7000167,39825821,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233294,SAMEA7000167,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-22T06:33:00Z,1,SAMEA7000167,W0006_v1,Illumina Solexa,ERP122448,W0006_v1
ERR4280635,AMPLICON,501,51158227,PRJEB38984,SAMEA7000169,34332985,GOTHENBURG UNIVERISITY,2016,human,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233295,SAMEA7000169,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-17T08:55:00Z,1,SAMEA7000169,W0006_v2,Illumina Solexa,ERP122448,W0006_v2
ERR4280636,AMPLICON,501,50851947,PRJEB38984,SAMEA7000170,36097268,GOTHENBURG UNIVERISITY,2016,human,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233296,SAMEA7000170,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-22T01:04:00Z,1,SAMEA7000170,W0006_v3,Illumina Solexa,ERP122448,W0006_v3
ERR4280637,AMPLICON,501,46828943,PRJEB38984,SAMEA7000171,33185167,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233297,SAMEA7000171,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-28T00:09:00Z,1,SAMEA7000171,W0006_v4,Illumina Solexa,ERP122448,W0006_v4
ERR4280638,AMPLICON,501,58092434,PRJEB38984,SAMEA7000172,38569960,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233298,SAMEA7000172,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-13T17:26:00Z,1,SAMEA7000172,W0007_v1,Illumina Solexa,ERP122448,W0007_v1
ERR4280639,AMPLICON,501,64379632,PRJEB38984,SAMEA7000173,43301073,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233299,SAMEA7000173,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-28T00:08:00Z,1,SAMEA7000173,W0007_v2,Illumina Solexa,ERP122448,W0007_v2
ERR4280640,AMPLICON,501,55972273,PRJEB38984,SAMEA7000174,39723621,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233300,SAMEA7000174,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-28T00:09:00Z,1,SAMEA7000174,W0007_v3,Illumina Solexa,ERP122448,W0007_v3
ERR4280641,AMPLICON,501,70436072,PRJEB38984,SAMEA7000175,50031905,GOTHENBURG UNIVERISITY,2016,human,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233301,SAMEA7000175,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-21T06:51:00Z,1,SAMEA7000175,W0007_v4,Illumina Solexa,ERP122448,W0007_v4
ERR4280642,AMPLICON,501,65276784,PRJEB38984,SAMEA7000176,43701398,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233302,SAMEA7000176,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-28T00:09:00Z,1,SAMEA7000176,W0008_v1,Illumina Solexa,ERP122448,W0008_v1
ERR4280643,AMPLICON,501,48202994,PRJEB38984,SAMEA7000177,32735992,GOTHENBURG UNIVERISITY,2016,human,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233303,SAMEA7000177,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-28T00:09:00Z,1,SAMEA7000177,W0008_v2,Illumina Solexa,ERP122448,W0008_v2
ERR4280644,AMPLICON,501,60820636,PRJEB38984,SAMEA7000178,43272091,GOTHENBURG UNIVERISITY,2016,human,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",2022-01-05,2022-01-05T00:00:00Z,2022-01-05,2022-01-05,ENVO:00002003,ENVO:00002003,ENVO:00002003,ERX4233304,SAMEA7000178,Sweden,Europe,Sweden,57.70887,11.97456,human-gut,GOTHENBURG UNIVERISITY,GOTHENBURG UNIVERISITY,2022-01-05T00:17:45Z,2022-01-05T00:17:45Z,public,Illumina MiSeq,metagenome,V4_PCR,PAIRED,PCR,METAGENOMIC,Homo sapiens,ILLUMINA,S3WP_microbiome,2022-01-05T00:00:00Z,2022-07-19T12:32:00Z,1,SAMEA7000178,W0008_v3,Illumina Solexa,ERP122448,W0008_v3
